"series","status","SC.taxcl","OSD.taxcl","flag"
"TOLLGATE","inactive","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC ARIDIC ARGIXEROLLS","LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC ARIDIC ARGIXEROLLSA11--0 TO 3 INCHES; GRAYISH BROWN (10YR 5/2) GRAVELLY LOAM, VERY DARK GRAYISH BROWN (10YR 3/2) MOIST; MODERATE FINE AND MEDIUM GRANULAR STRUCTURE; SOFT, VERY FRIABLE, SLIGHTY STICKY AND SLIGHTLY PLASTIC; MANY VERY FINE TO MEDIUM ROOTS; MANY FINE INTERSTITIAL PORES; NEUTRAL (PH 7.4); CLEAR SMOOTH BOUNDARY.  (6 TO 10 INCHES THICK)A12--3 TO 11 INCHES; BROWN (10YR 5/3) GRAVELLY LOAM, DARK BROWN (10YR 3/3) MOIST; MODERATE FINE AND MEDIUM SUBANGULAR BLOCKY STRUCTURE; SLIGHTLY HARD, FRIABLE, SLIGHTLY STICKY AND SLIGHTLY PLASTIC; MANY VERY FINE TO MEDIUM ROOTS; MANY FINE TUBULAR PORES; MILDLY ALKALINE (PH 7.4); CLEAR SMOOTH BOUNDARY.  (6 TO 10 INCHES THICK)A3--11 TO 21 INCHES; BROWN (7.5YR 5/4) GRAVELLY LOAM, DARK BROWN (7.5YR 4/3) MOIST; WEAK COARSE SUBANGULAR BLOCKY STRUCTURE; HARD, FIRM, STICKY AND SLIGHTLY PLASTIC; MANY VERY FINE TO MEDIUM ROOTS; MANY FINE TUBULAR PORES; MILDLY ALKALINE (PH 7.4); CLEAR SMOOTH BOUNDARY.  (8 TO 12 INCHES THICK)B21T--21 TO 43 INCHES; PINKISH GRAY (7.5YR 6/2) GRAVELLY CLAY LOAM, DARK BROWN (7.5YR 4/3, BROKEN) AND BROWN (7.5YR 5/4, CRUSHED) MOIST; MODERATE FINE AND MEDIUM ANGULAR BLOCKY STRUCTURE; HARD, FIRM, STICKY, PLASTIC; COMMON FINE AND MEDIUM ROOTS; MANY FINE TUBULAR PORES; COMMON THIN CLAY FILMS ON SURFACES OF PEDS AND ROCK FRAGMENTS AND IN PORES; MILDLY ALKALINE (PH 7.4); GRADUAL SMOOTH BOUNDARY.  (14 TO 26 INCHES THICK)B22T--43 TO 54 INCHES; PINKISH GRAY (7.5YR 6/2) VERY STONY CLAY LOAM, DARK BROWN (7.5YR 4/3, BROKEN) AND BROWN (7.5YR 5/3, CRUSHED) MOIST; MASSIVE; HARD, FIRM, STICKY AND PLASTIC; FEW FINE ROOTS; MANY FINE TUBULAR PORES; COMMON THIN CLAY FILMS; MILDLY ALKALINE (PH 7.4).",TRUE
"TRUSSUM","established","FINE, MIXED, ACTIVE, MESIC TYPIC PALEAQUULTS","FINE, MIXED, ACTIVE, MESIC TYPIC PALEAQUULTSDEPTH CLASS: VERY DEEPAGRICULTURAL DRAINAGE CLASS: POORLY DRAINEDPERMEABILITY: SLOWINTERNAL FREE WATER OCCURANCE: VERY SHALLOW; PERSISTENTINDEX SURFACE RUNOFF: LOWPARENT MATERIAL: CLAYEY MARINE SEDIMENTSSLOPE: 0 TO 2 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 56 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 44 INCHESTAXONOMIC CLASS: FINE, MIXED, ACTIVE, MESIC TYPIC PALEAQUULTS",TRUE
"TUQUE","established","CLAYEY, CARBONATIC, ISOHYPERTHERMIC CALCIC LITHIC PETROCALCIDS","CLAYEY, CARBONATIC, ISOHYPERTHERMIC, SHALLOW USTIC PETROCALCIDS",TRUE
"TUSKAHOMA","established","CLAYEY, MIXED, ACTIVE, THERMIC, SHALLOW ALBAQUIC HAPLUDALFS","CLAYEY, MIXED, ACTIVE, THERMIC, SHALLOW ALBAQUIC HAPLUDALFSTYPICALPEDON:  TUSKAHOMA LOAM--RANGELAND.(COLORS ARE FOR MOIST SOIL UNLESS OTHERWISESTATED.)A1--0 TO 5 INCHES; DARK GRAYISH BROWN (10YR 4/2) LOAM;MODERATE FINE GRANULAR STRUCTURE; FRIABLE; 10 PERCENT SANDSTONE GRAVEL BY VOLUME; MEDIUM ACID; ABRUPT SMOOTH BOUNDARY.  (3 TO 9 INCHES THICK)B2T--5 TO 10 INCHES; BROWN (10YR 4/3) CLAY; MANY FINEDISTINCT YELLOWISH RED (5YR 5/6) AND A FEW FINE FAINT DARK GRAYISH BROWN MOTTLES; MODERATE MEDIUM BLOCKY STRUCTURE; FIRM; THIN CLAY FILMS CONTINUOUS ON FACES OF PEDS; FEW SHALE FRAGMENTS; MEDIUMACID; GRADUAL WAVY BOUNDARY.  (3 TO 9 INCHES THICK)B3--10 TO 15 INCHES; DARK GRAY (10YR 4/1) SHALY CLAY; COMMON FINE DISTINCT YELLOWISH RED (5YR 5/6) MOTTLES; WEAK MEDIUM BLOCKY STRUCTURE; FIRM; THIN PATCHY CLAY FILMS ON FACES OF PEDS; 25PERCENT SHALE FRAGMENTS BY VOLUME; MEDIUM ACID; GRADUAL IRREGULAR BOUNDARY.  (0 TO 8 INCHES THICK)CR--15 TO 30 INCHES; GRAY (10YR 5/1) SHALE BEDROCK WITH THIN LAYERS OF SHALY CLAY; TILTED 40 DEGREES FROM HORIZONTAL; NEUTRAL.TYPELOCATION:  LEFLORE COUNTY, OKLAHOMA; ABOUT 2 MILES EAST OF TALIHINA; 1,250 FEET EAST AND 975 FEET NORTH OF THE SOUTHWESTCORNER OF SEC. 5, T. 3 N., R. 22 E.RANGEINCHARACTERISTICS:  SOLUM THICKNESS AND DEPTH TO SHALEBEDROCK RANGES FROM 10 TO 20 INCHES.THE A1 HORIZON HAS HUE OF 10YR OR 2.5Y, VALUE OF 3 TO 5, ANDCHROMA OF 2 OR 3.  TEXTURE IS SILT LOAM, LOAM, SILTY CLAY LOAM,STONY SILT LOAM, STONY LOAM, OR STONY SILTY CLAY LOAM.  CONTENT OF COARSE FRAGMENTS OF SANDSTONE RANGES FROM 0 TO 30 PERCENT BYVOLUME.  ABOUT 0 TO 10 PERCENT BY VOLUME IS LESS THAN 76 MM IN DIAMETER AND 0 TO 20 PERCENT BY VOLUME IS MORE THAN 76 MM IN DIAMETER.  REACTION IS MEDIUM ACID TO MILDLY ALKALINE.SOME PEDONS HAVE A A2 HORIZON FROM 1 TO 4 INCHES THICK.  THE A2 HORIZON HAS HUE OF 10YR OR 2.5Y, VALUE OF 5 OR 6, AND CHROMA OF 2TO 4.  TEXTURE AND CONTENT OF COARSE FRAGMENTS ARE SIMILAR TO THEA1 HORIZON.  REACTION IS STRONGLY ACID TO NEUTRAL.THE B2T HORIZON HAS HUE OF 5YR TO 2.5Y, VALUE OF 3 TO 5, ANDCHROMA OF 2 TO 6.  MOTTLES ARE IN SHADES OF RED, BROWN, GRAY, OR YELLOW.  TEXTURE IS CLAY, SILTY CLAY, SILTY CLAY LOAM, SHALY CLAY, SHALY SILTY CLAY, OR SHALY SILTY CLAY LOAM.  CONTENT OF COARSE FRAGMENTS OF SHALE RANGES FROM 0 TO 30 PERCENT BY VOLUME AND ARELESS THAN 76 MM IN DIAMETER.  REACTION IS STRONGLY ACID TONEUTRAL.THE B3 HORIZON HAS HUE OF 10YR OR 2.5Y, VALUE OF 4 OR 5, ANDCHROMA OF 1 OR 2.  MOTTLES ARE IN SHADES OF BROWN, RED, OR GRAY.  TEXTURE IS SHALY CLAY, SHALY SILTY CLAY, SHALY SILTY CLAY LOAM,VERY SHALY CLAY, VERY SHALY SILTY CLAY, OR VERY SHALY SILTY CLAY LOAM.  CONTENT OF COARSE FRAGMENTS OF SHALE RANGES FROM 20 TO 50 PERCENT BY VOLUME AND ARE LESS THAN 76 MM IN DIAMETER.  REACTIONIS MEDIUM ACID TO MILDLY ALKALINE.THE CR HORIZON HAS HUE OF 10YR TO 5Y, VALUE OF 4 OR 5, AND CHROMAOF L TO 4.  IT IS SHALE BEDROCK THAT IS TILTED MORE THAN 20DEGREES FROM HORIZONTAL.  REACTION IS SLIGHTLY ACID TO MODERATELY ALKALINE.COMPETINGSERIES:  THERE ARE NO OTHER SERIES IN THIS FAMILY.  SOILSIN SIMILAR FAMILIES ARE THE BARDEN, BUB, BUSHNELL, HOMA, LIBERAL, TALIHINA, TUPELO, AND WISTER SERIES.  BARDEN, BUSHNELL, HOMA, LIBERAL, TUPELO, AND WISTER SOILS HAVE SOLA MORE THAN 20 INCHES THICK.  IN ADDITION, BARDEN AND LIBERAL SOILS HAVE AP OR A1HORIZONS OF MOIST COLOR VALUES LESS THAN 4 IN THE UPPER 7 INCHES AFTER MIXING AND LACK ABRUPT TEXTURAL CHANGES BETWEEN THE A AND B HORIZONS.  BUSHNELL SOILS HAVE HYPERTHERMIC TEMPERATURE REGIMESAND HOMA SOILS HAVE MORE THAN 60 PERCENT CLAY IN THE CONTROLSECTION.  BUB SOILS LACK WETNESS MOTTLES.  TALIHINA SOILS LACK BT HORIZONS AND HAVE MOLLIC EPIPEDONS.GEOGRAPHICGEOGRAPHIC SETTING:  THESE ARE VERY GENTLY SLOPING THROUGH MODERATELY STEEP SOILS ON UPLANDS.  SLOPE GRADIENTS RANGE FROM 1TO 20 PERCENT.  THE SOIL FORMED IN MATERIAL WEATHERED FROM SHALE.  THE CLIMATE IS MOIST SUBHUMID OR HUMID.  MEAN ANNUAL TEMPERATURE RANGES FROM 60 DEGREES TO 64 DEGREES F., AVERAGE ANNUALPRECIPITATION RANGES FROM 40 TO 50 INCHES, AND THORNTHWAITE ANNUAL P-E INDICES RANGE FROM 64 TO 80.GEOGRAPHICALLYASSOCIATEDSOILS:  THESE ARE THE COMPETING WISTERSERIES AND THE CLEBIT, COUNTS, AND SOBOL SERIES.  CLEBIT SOILSLACK B2T HORIZONS AND ARE ON SIMILAR AREAS.  COUNTS AND WISTERSOILS ARE ON SLIGHTLY LOWER AREAS IN BROAD VALLEYS.  COUNTS ANDSOBOL SOILS HAVE SOLA MORE THAN 20 INCHES THICK.  SOBOL SOILS AREON SIMILAR AREAS.DRAINAGEANDPERMEABILITY:  TUSKAHOMA SOILS ARE MODERATELY WELL DRAINED.  RUNOFF IS MEDIUM TO RAPID AND PERMEABILITY IS VERY SLOW.USEANDVEGETATION:  USED MAINLY FOR RANGELAND.  SOME OF THE LESS SLOPING AND LESS STONY AREAS ARE CULTIVATED OR USED FOR TAMEPASTURE.  VEGETATION CONSISTS OF AN OPEN CANOPY OF WINGED ELM,POST OAK, BLACKJACK OAK, AND CEDAR TREES WITH AN UNDERSTORY OF GRASSES, LEGUMES, AND FORBS.  BAHIAGRASS, TALL, FESCUE, ANDIMPROVED BERMUDAGRASS ARE THE MAIN TAME PASTURE PLANTS.DISTRIBUTIONANDEXTENT:  BROAD VALLEYS OF THE OUACHITA MOUNTAINS OF SOUTHEAST OKLAHOMA AND POSSIBLY WESTERN ARKANSAS.  THE SERIES ISOF MODERATE EXTENT.SERIESESTABLISHED:  PUSHMATAHA COUNTY, OKLAHOMA; 1977.",TRUE
"TWORIVERS","inactive","CLAYEY-SKELETAL OVER SANDY OR SANDY-SKELETAL, MIXED ABRUPTIC ARGIBOROLLS","CLAYEY-SKELETAL OVER SANDY OR SANDY-SKELE, MIXED ABRUPTIC ARGIBOROLLS",TRUE
"USINE","inactive","SANDY-SKELETAL, MIXED, FRIGID XERIC TORRIORTHENTS","SANDY-SKELETAL, MIXED, FRIGID XERICTORRIORTHENTS",TRUE
"VANDERHOFF","established","COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC TYPIC TORRIORTHENTS","COARSE-LOAMY, MIXED, SUPERACTIVE, CALCAREOUS, MESIC TYPIC TORRIORTHENTSTYPICTORRIORTHENTS",TRUE
"VANNI","established","FINE-LOAMY, CARBONATIC, FRIGID TYPIC CALCIXEROLLS","FINE-LOAMY, CARBONATIC, FRIGID TYPICCALCIXEROLLS",TRUE
"VELOW","established","FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC TYPIC HAPLUSTOLLS","FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC TYPIC HAPLUSTOLLSTYPICALPEDON:  VELOW CLAY LOAM, ON A CONVEX 3 PERCENT SLOPE, INRANGELAND.(COLORS ARE FOR DRY SOIL UNLESS OTHERWISE STATED.)A1--0 TO 16 INCHES; DARK GRAYISH BROWN (10YR 4/2) CLAY LOAM,VERY DARK GRAYYSH BROWN (10YR 3/2) MOIST; MODERATE FINE SUBANGULARBLOCKY AND GRANULAR STRUCTURE; HARD, FRIABLE; COMMON FINE ROOTS;COMMON FINE PORES; FEW WORMCASTS; MILDLY ALKALINE; GRADUAL WAVYBOUNDARY.  (10 TO 20 INCHES THICK)B21T--16 TO 30 INCHES; YELLOWISH BROWN (10YR 5/4) CLAY LOAM,DARK YELLOWISH BROWN (10YR 4/4) MOIST; MODERATE MEDIUM SUBANGULARBLOCKY STRUCTURE; HARD, FRIABLE; FEW FINE ROOTS; FEW FINE PORES;MODERATELY ALKALINE; CLEAR SMOOTH BOUNDARY.  (6 TO 22 INCHESTHICK)B22CA--30 TO 45 INCHES; LIGHT YELLOWISH BROWN (10YR 6/4) CLAYLOAM, YELLOWISH BROWN (10YR 5/4) MOIST; MODERATE MEDIUM SUBANGULARBLOCKY STRUCTURE; FEW FINE ROOTS; COMMON FINE PORES; COMMON FILMSAND THREADS OF CALCIUM CARBONATE; MODERATELY ALKALINE; CALCAREOUS;CLEAR SMOOTH BOUNDARY.  (10 TO 28 INCHES THICK)B3CA--45 TO 60 INCHES; YELLOWISH BROWN (10YR 5/4) CLAY LOAM,DARK YELLOWISH BROWN (10YR 4/4) MOIST; WEAK MEDIUM SUBANGULARBLOCKY STRUCTURE; HARD, FRIABLE; FEW FINE ROOTS; COMMON FINEPORES, COMMON FILMS, THREADS, AND SOFT MASSES OF CALCIUMCARBONATE; FEW LIMESTONE FRAGMENTS LESS THAN 1 INCH ACROSS;MODERATELY ALKALINE; CALCAREOUS.  (10 TO 30 INCHES THICK)TYPELOCATION:  PALO PINTO COUNTY, TEXAS; FROM THE INTERSECTION OFTEXAS HIGHWAY 16 AND FARM ROAD 2372 IN STRAWN; 1.4 MILES WEST ONFARM ROAD 2372; 50 FEET NORTH FROM FENCE IN RANGELAND.RANGEINCHARACTERISTICS:  THE SOLUM IS 40 TO MORE THAN 60 INCHESTHICK. DEPTH TO SECONDARY CARBONATES RANGES FROM 20 TO 36 INCHES.THE A HORIZON HAS HUE OF 7.5YR, 10YR, AND 2.5Y, VALUE OF 3 THROUGH5, CHROMA OF 2 OR 3.  IT IS CLAY LOAM OR LOAM.  REACTION ISNEUTRAL OR MILDLY ALKALINE. THE B HORIZON HAS HUE OF 10YR AND2.5Y, VALUE OF 5 THROUGH 7, CHROMA OF 2 THROUGH 6.  TEXTURE ISLOAM, SANDY CLAY LOAM OR CLAY LOAM AND SILICATE CLAY CONTENTRANGES FROM 18 TO 30 PERCENT.  REACTION RANGES FROM NEUTRALTHROUGH MODERATELY ALKALINE AND NONCALCAREOUS IN THE UPPER PART TOMODERATELY ALKALINE AND CALCAREOUS IN THE LOWER PART.CONCRETIONS, SOFT MASSES AND THREADS OF CALCIUM CARBONATE RANGEFROM FEW TO COMMON IN THE BCA HORIZONS.  CALCIUM CARBONATEEQUIVALENT RANGES FROM 15 TO 50 PERCENT, WITH LESS THAN 40 PERCENTIN THE CONTROL SECTION. THE C HORIZON WHEN ENCOUNTERED ISBROWNISH, CALCAREOUS LOAM, SANDY CLAY LOAM OR CLAY LOAM.  SOMEPEDONS HAVE GRAVELLY LAYERS BELOW A DEPTH OF 60 INCHES.COMPETINGSERIES:  THERE ARE NO OTHER SOILS IN THE SAME FAMILY.OTHER SIMILAR SOILS INCLUDE THE AUSTIN, PALODURO, AND STEPHENSERIES.  AUSTIN SOILS HAVE MORE THAN 40 PERCENT CALCIUM CARBONATEEQUIVALENT.  PALODURO SOILS ARE DRY IN THE MOISTURE CONTROLSECTIONS FOR LONGER PERIODS.  STEPHEN SOILS ARE LESS THAN 20INCHES DEEP AND CLAYEY.GEOGRAPHICGEOGRAPHIC SETTING:  VELOW SOILS ARE ALONG GENTLY SLOPING COLLUVIAL  FOOTSLOPES AND SHALLOW VALLEYS.  THE SOIL FORMED IN LOCALCALCAREOUS ALLUVIUM.  MEAN ANNUAL TEMPERATURE RANGES FROM 64DEGREES TO 79 DEGREES F.; AVERAGE ANNUAL PRECIPITATION RANGES FROM25 TO 30 INCHES; AND THORNTHWAITE ANNUAL P-E INDEX RANGES FROM 38TO 44.GEOGRAPHICALLYASSOCIATEDSOILS:  THESE ARE THE BLANKET, BOSQUE,OWENS, AND SET SERIES.  BLANKET SOILS HAVE A FINE-LOAMY ARGILLICHORIZON AND OCCUPY POSITIONS SIMILAR TO THE VELOW SOILS.  BOSQUESOILS HAVE MOLLIC EPIPEDONS MORE THAN 20 INCHES THICK AND AREBELOW ON FLOOD PLAINS.  OWENS AND SET SOILS HAVE CLAYEY SURFACELAYERS AND ARE ABOVE ON HILLSIDES AND ESCARPMENTS.DRAINAGEANDPERMEABILITY:  VELOW SOILS ARE WELL DRAINED.  RUNOFF ISMEDIUM AND PERMEABILITY IS MODERATE.USEANDVEGETATION:  USED MAINLY FOR RANGELAND, BUT A FEW AREAS ARECROPPED TO SMALL GRAIN AND FORAGE SORGHUM.  NATIVE VEGETATION ISLITTLE BLUESTEM, SIDEOATS GRAMA, INDIANGRASS, SWITCHGRASS, TEXASWINTERGRASS, WESTERN RAGWEED, CURLEY-CUP GUMWEED, ENGELMANN-DAISY,AND MAXIMILLIAN SUNFLOWER.  LIVEOAK TREES ARE COMMON, ALONG WITHINVADING MESQUITE.DISTRIBUTIONANDEXTENT:  NORTH-CENTRAL AND CENTRAL TEXAS.  THESERIES IS MODERATE IN EXTENT.SERIESPROPOSED:  PALO PINTO COUNTY, TEXAS; 1977.",TRUE
"VELVET","established","SANDY-SKELETAL, MIXED, FRIGID OXYAQUIC FRAGIORTHODS","SANDY-SKELETAL, MIXED, FRIGID OXYAQUICFRAGIORTHODS",TRUE
"WAHREKDAM","established","CLAYEY-SKELETAL, SESQUIC, ISOHYPERTHERMIC, SHALLOW PLINTHIC ACROPEROX","CLAYEY-SKELETAL, OXIDIC, ISOHYPERTHERMIC,SHALLOW PLINTHIC ACRORTHOX",TRUE
"WARDBORO","established","SANDY-SKELETAL, MIXED, FRIGID XERIC TORRIFLUVENTS","SANDY-SKELETAL, MIXED, FRIGID XERICTORRIFLUVENTS",TRUE
"WELOY","established","FINE, MIXED, SUPERACTIVE, ISOHYPERTHERMIC ABRUPTIC ARGIUDOLLS","CLAYEY-SKELETAL, MIXED, ISOHYPERTHERMIC TYPIC ARGIUDOLLS",TRUE
"YAP","established","VERY-FINE, MIXED, ISOHYPERTHERMIC TYPIC EUTROPEROX","CLAYEY, MIXED, ISOHYPERTHERMIC TROPEPTICEUTRORTHOX",TRUE
"YIGO","established","VERY-FINE, GIBBSITIC, ISOHYPERTHERMIC EUTRIC ACRUSTOX","CLAYEY, GIBBSITIC, ISOHYPERTHERMIC TROPEPTIC EUTRUSTOX",TRUE
"YLIG","established","FINE, MIXED, SEMIACTIVE, ISOHYPERTHERMIC AQUIC HAPLUSTEPTS","FINE, MIXED, ACID, ISOHYPERTHERMIC AQUIC USTIFLUVENTS",TRUE
"ZENDA","established","FINE-LOAMY, MIXED, THERMIC FLUVAQUENTIC HAPLUSTOLLS","FINE-LOAMY, MIXED, THERMIC FLUVAQUENTICHAPLUSTOLLS",TRUE
"LAKEHURST","established","MESIC, COATED AQUODIC QUARTZIPSAMMENTS","MESIC, COATED AQUODIC QUARTZIPSAMMENTSMLRA SOIL SURVEY REGIONAL OFFICE (MO) RESPONSIBLE: RALEIGH, NORTH CAROLINADEPTH CLASS: VERY DEEPDRAINAGE CLASS: MODERATELY WELL DRAINEDPERMEABILITY: RAPID IN THE SUBSOIL AND TO SLOW IN THE SUBSTRATUMSURFACE RUNOFF: SLOWPARENT MATERIAL: SANDY COASTAL PLAIN SEDIMENTSSLOPE: 0 TO 5 PERCENTMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 56 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 44 INCHES",TRUE
"MANGLILLO","established","EUIC, ISOHYPERTHERMIC FLUVAQUENTIC HAPLOHEMISTS","LOAMY, MIXED, EUIC, ISOHYPERTHERMIC TERRIC SULFIHEMISTS",TRUE
"ALABASTER","inactive","FINE, MIXED, FRIGID AQUIC EUTROCHREPTS","",TRUE
"DEIBERT","inactive","LOAMY OVER SANDY OR SANDY-SKELETAL, MIXED, FRIGID GLOSSIC EUTROBORALFS","",TRUE
"STORLA","established","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, MESIC AERIC CALCIAQUOLLS","FINE-LOAMY OVER SANDY OR SANDY-SKELETAL, MESICAERIC CALCIAQUOLLS",TRUE
"QUAKERBRIDGE","tentative","MESIC, COATED SPODIC QUARTZIPSAMMENTS","MESIC, COATED SPODIC QUARTZIPSAMMENTSDEPTH CLASS: VERY DEEPDRAINAGE CLASS (AGRICULTURAL): SOMEWHAT EXCESSIVELY DRAINEDINTERNAL FREE WATER OCCURRENCE: DEEP OR VERY DEEPINDEX SURFACE RUNOFF: NEGLIGIBLEFLOODING FREQUENCY AND DURATION: NONEPONDING FREQUENCY AND DURATION: NONEPERMEABILITY: RAPIDSHRINK-SWELL POTENTIAL: LOWLANDSCAPE: NORTHERN ATLANTIC COASTAL PLAINLANDFORM: LOW HILL, FLAT, FLUVIOMARINE TERRACEGEOMORPHIC COMPONENT: CREST, SIDE SLOPE, BASE SLOPE, RISE, TREADHILLSLOPE PROFILE POSITION: SUMMIT, BACKSLOPE, FOOTSLOPEPARENT MATERIAL: SANDY FLUVIOMARINE DEPOSITSSLOPE: 0 TO 5 PERCENTELEVATION (TYPE LOCATION): 95 FEETFROST FREE PERIOD (TYPE LOCATION): 195 DAYSMEAN ANNUAL AIR TEMPERATURE (TYPE LOCATION): 56 DEGREES F.MEAN ANNUAL PRECIPITATION (TYPE LOCATION): 45 INCHES & TAXONOMIC CLASS: MESIC, COATED SPODIC QUARTZIPSAMMENTS",TRUE
"MIKADO","inactive","COARSE-LOAMY, MIXED GLOSSAQUIC EUTROBORALFS","",TRUE
